Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
35-44,Education (Primary/Secondary),Middle School History Faculty,I work at a private school not a public school.,"75,552.00",500.00,,Pennsylvania,Fort Washington,21-30 years,11-20 years,College degree,Woman,"Black or African American, Another option not listed here or prefer not to answer"
25-34,Media & Digital,Sr Software Engineering Manager,,"153,000.00","25,000.00",,Minnesota,Minneapolis,11-20 years,5-7 years,College degree,Man,White
45-54,Engineering or Manufacturing,ILS Specialist,,"93,000.00","4,000.00",,Wisconsin,Green Bay,21-30 years,2-4 years,Some college,Man,"Hispanic, Latino, or Spanish origin"
25-34,Education (Higher Education),Access Services Assistant,I work at a health sciences university library,"38,000.00",,,Oregon,Portland,5-7 years,2-4 years,Master's degree,Non-binary,Asian or Asian American
35-44,Education (Higher Education),Associate teaching professor,,"101,000.00",0.00,,Utah,Provo,11-20 years,11-20 years,PhD,Woman,White
35-44,"Accounting, Banking & Finance",Director Internal Comms & Change Management,,"146,000.00","5,000.00",,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,Product Review Engineer,I design in-production airplane repairs and evaluate airplane parts that do not meet drawing requirements.,"144,250.00",0.00,,Washington,Everett,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
45-54,Education (Primary/Secondary),Paraeducator,"Special needs aide, mod/severe","38,800.00",0.00,"Limited to 6 hours a day, 10.5 months a year",California,Mission Viejo,8-10 years,5-7 years,College degree,Woman,White
45-54,Business or Consulting,Application Consultant,Implement accounting and project management software solutions for the construction industry,"65,000.00","20,000.00",,Michigan,Portage,21-30 years,21-30 years,College degree,Woman,White
35-44,Education (Higher Education),Associate Professor,Medical Education,"145,000.00",0.00,,Texas,Fort Worth,11-20 years,11-20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,"Accounting, Banking & Finance",Commercial Banker,Vice President level,"168,000.00","52,000.00",,Virginia,Mclean,8-10 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Software Engineer,,"175,000.00","20,000.00",,Minnesota,Twin Cities,11-20 years,11-20 years,College degree,Man,White
35-44,Property or Construction,Sr. Manager of Project Controls,Project = Capital Construction Project,"125,500.00",0.00,,Massachusetts,Boston,11-20 years,11-20 years,College degree,Woman,White
35-44,Retail,Campaign Manager,,"50,000.00","2,000.00",,Oregon,Portland,8-10 years,8-10 years,College degree,Man,White
35-44,"Marketing, Advertising & PR",Graphic Designer,"Digital ads, some video editing","35,000.00",0.00,,Indiana,Mishawaka,11-20 years,11-20 years,College degree,Woman,White
45-54,Insurance,Account Manager,,"77,830.00","5,000.00",,Michigan,Southfield,31-40 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Associate Software Engineer,,"106,000.00","6,000.00",,Delaware,Newark,5-7 years,2-4 years,College degree,Woman,White
45-54,"Leisure, Sport & Tourism",Lifestyle Director for a master planned community,I plan events and activities for residents,"54,700.00",0.00,I am a 1099.,Texas,Houston,11-20 years,8-10 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Coordinator,,"63,000.00","18,000.00",,Virginia,Richmond,8-10 years,2-4 years,College degree,Woman,White
45-54,"Accounting, Banking & Finance",Executive Assistant,,"54,000.00","2,250.00",,Ohio,Cleveland,21-30 years,11-20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Law,Associate,,"210,000.00","10,000.00",,California,Los Angeles,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Law,Legal Assistant,,"42,000.00",0.00,,Minnesota,New Ulm,11-20 years,2-4 years,College degree,Woman,White
25-34,Computing or Tech,Partnership Sales,business to government sales role,"120,000.00","45,000.00",,New York,New York,8-10 years,2-4 years,College degree,Woman,White
25-34,Government and Public Administration,Assistant Resource Specialist,,"100,200.00",0.00,,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofits,Immigration Services Manager,,"52,000.00",0.00,,Georgia,Atlanta,11-20 years,11-20 years,College degree,Woman,White
35-44,Sales,Renewals Manager,,"120,000.00","30,000.00",,Ohio,Columbus,11-20 years,11-20 years,College degree,Woman,White
25-34,Nonprofits,"Director of Media, Outreach and Education",,"50,000.00",100.00,,California,Los Angeles,5-7 years,5-7 years,College degree,Woman,White
25-34,Industrial Hygiene,Senior Industrial Hygienist,,"90,000.00","1,500.00",,Washington,Seattle,8-10 years,8-10 years,Master's degree,Woman,White
35-44,"Marketing, Advertising & PR",Copywriter,,"30,000.00",,,Pennsylvania,Harrisburg,2-4 years,2-4 years,Master's degree,Woman,White
35-44,Health care,Manager,,"78,346.00","11,000.00",,Minnesota,Minneapolis,11-20 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),Director of Research Development,Supports a center (not entire institution),"112,320.00",,,Washington,Seattle,11-20 years,8-10 years,PhD,Woman,White
45-54,Government and Public Administration,Nature Center Supervisor,,"94,000.00",0.00,,Maryland,Rockville,21-30 years,11-20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Law,Attorney,,"60,000.00",,,Illinois,Rockford,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
25-34,Engineering or Manufacturing,Administrative assistant,,"40,000.00",,,New York,Buffalo,8-10 years,2-4 years,Master's degree,Woman,White
35-44,Property or Construction,Location Analyst,,"78,000.00","3,500.00",,Missouri,St. Louis,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Nonprofits,Program Associate,,"47,000.00",,,District of Columbia,Washington,2-4 years,2-4 years,College degree,Woman,"Middle Eastern or Northern African, White"
35-44,Computing or Tech,Sr. Atlassian Engineer,,"118,500.00","6,000.00",,Georgia,Atlanta,11-20 years,5-7 years,College degree,Man,White
25-34,Property or Construction,Receptionist,,"35,360.00",50.00,,Oregon,Hillsboro,5-7 years,2-4 years,College degree,Woman,White
35-44,Health care,Clinical Research Associate,,"80,000.00",,,Washington,Seattle,11-20 years,2-4 years,Master's degree,Woman,Asian or Asian American
45-54,Health care,Supervisor,Supervising support staff,"74,000.00",0.00,,Oregon,Portland,21-30 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Business or Consulting,Manager,Corporate Librarian,"104,164.00","10,000.00",,Texas,Dallas,11-20 years,11-20 years,College degree,Woman,Asian or Asian American
25-34,Manufacturing,Compensation Manager,,"88,000.00",,,Iowa,Des Moines,8-10 years,5-7 years,College degree,Man,White
25-34,Computing or Tech,Executive Assistant,,"71,500.00","13,500.00",,Virginia,Arlington,8-10 years,8-10 years,College degree,Woman,White
35-44,Health care,Application Analyst,IT Epic Analyst,"95,000.00",,,New York,New York,11-20 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Operations Manager,,"86,000.00",,,California,Oakland,11-20 years,8-10 years,College degree,Woman,Asian or Asian American
25-34,Health care,Senior Project Manager,,"96,000.00","6,000.00",,Pennsylvania,Pittsburgh,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Embedded software engineer,,"97,000.00",,,California,Sacramento,5-7 years,2-4 years,College degree,Man,White
25-34,Government and Public Administration,Contracts Specialist 3,,"67,204.00",,,Washington,Olympia,8-10 years,5-7 years,Master's degree,Woman,Asian or Asian American
18-24,Retail,Framer,,"29,848.00",100.00,,Colorado,Colorado Springs,2-4 years,1 year or less,Some college,Woman,White
35-44,Library,Library specialist,Not an actual librarian with a masters degree,"26,000.00",0.00,,Louisiana,Lafayette,11-20 years,8-10 years,College degree,Woman,White
35-44,Nonprofits,"Manager, Government Affairs",,"90,000.00",,,Illinois,Chicago,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Government and Public Administration,City Planner,,"73,000.00",0.00,,Illinois,Chicagoland,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Finance,Structured Finance Manager,,"129,000.00","1,200.00",,New York,New York,8-10 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
25-34,Law,Attorney,,"124,000.00",0.00,,Massachusetts,Boston,2-4 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Nonprofits,Generalist,,"58,500.00",,,Illinois,Chicago,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Health care,Regulatory Specialist,working with human subject clinical trials,"72,000.00",0.00,,Minnesota,Minneapolis,21-30 years,5-7 years,Some college,Woman,White
35-44,Nonprofits,Knowledge Manager,Support and train team members on company systems,"63,000.00","3,000.00",,District of Columbia,DC,8-10 years,5-7 years,Master's degree,Woman,White
25-34,Social Work,Social worker,MSW,"78,000.00",,,California,San Jose,11-20 years,8-10 years,Master's degree,Woman,Black or African American
35-44,Recruitment or HR,Director HR,,"100,000.00","5,000.00",,Maryland,Baltimore,11-20 years,11-20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
35-44,Business or Consulting,Managing Consultant,,"130,000.00","7,000.00",,Virginia,Arlington,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Insurance,Account Manager,,"38,000.00","1,500.00",,Michigan,Grand Rapids,2-4 years,2-4 years,Some college,Woman,White
25-34,Nonprofits,Development Director,,"65,000.00",,,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
35-44,Computing or Tech,IT Support Specialist II,,"60,000.00",,,Missouri,Kansas,11-20 years,11-20 years,College degree,Woman,White
35-44,Education (Higher Education),Research Instructor,,"64,000.00",0.00,,Tennessee,Nashville,8-10 years,8-10 years,PhD,Man,White
35-44,Science research,Research scientist,Astrophysicist,"82,000.00",0.00,,Massachusetts,Cambridge,5-7 years,5-7 years,PhD,Woman,White
25-34,Education (Higher Education),Communications Manager,,"57,000.00",,,Virginia,Lynchburg,5-7 years,5-7 years,Master's degree,Woman,Black or African American
35-44,Health care,Physical Therapy,,"96,428.00",,,Wisconsin,Franklin,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Man,"Black or African American, White"
25-34,Education (Primary/Secondary),Learning Specialist,,"46,813.00",0.00,,Georgia,Atlanta,5-7 years,5-7 years,Master's degree,Woman,White
35-44,"Accounting, Banking & Finance",Project accountant,,"75,000.00","5,600.00",,California,San Francisco,11-20 years,2-4 years,College degree,Woman,White
25-34,Transport or Logistics,Continuous Improvement Manager,Industrial Engineering Manager as well,"80,000.00","20,000.00",,Illinois,Joliet,5-7 years,2-4 years,College degree,Man,White
35-44,Retail,Genius Admin,,"55,000.00","5,000.00",,Nevada,Las Vegas,11-20 years,11-20 years,College degree,Man,White
55-64,Computing or Tech,network engineer,,"60,000.00","2,500.00",,North Carolina,Newton,21-30 years,21-30 years,College degree,Man,White
45-54,Education (Higher Education),Associate Professor,,"140,000.00","10,000.00",,Pennsylvania,Pittsburgh,11-20 years,11-20 years,PhD,Man,White
35-44,Education (Primary/Secondary),Vice principal,,"115,000.00",0.00,,California,San Francisco,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
25-34,Counseling,Licensed Professional Counselor,,"40,000.00",0.00,,Kansas,Overland Park,5-7 years,2-4 years,Master's degree,Woman,White
35-44,Pension Benefit Administration,Staff Specialist,Middle Management w/ no direct reports,"72,000.00",0.00,,Washington,Seattle,11-20 years,11-20 years,Some college,Man,White
25-34,Publishing,Publishing Assistant,,"33,000.00","2,000.00",,South Carolina,Columbia,2-4 years,2-4 years,College degree,Woman,White
35-44,Computing or Tech,Release Train Engineer,Coach for software development teams and facilitator of team events,"103,000.00","10,000.00",,Michigan,Metro Detroit,21-30 years,11-20 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Media & Digital,Editor,Online,"57,500.00","5,000.00",,Illinois,Chicago,8-10 years,8-10 years,College degree,Man,White
25-34,Education (Higher Education),Manager,,"81,000.00",0.00,,Massachusetts,Boston,8-10 years,5-7 years,Master's degree,Woman,White
35-44,Education (Higher Education),Special collections librarian,,"66,500.00",0.00,,Florida,Coral Gables,11-20 years,11-20 years,Master's degree,Man,White
35-44,Computing or Tech,Senior Project Manager,,"145,000.00",0.00,W4 contractor,Minnesota,Minneapolis,11-20 years,8-10 years,Master's degree,Woman,White
25-34,biotech,Senior Associate Data Scientist,,"110,000.00","14,000.00",,Massachusetts,Cambridge,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Computing or Tech,Data Scientist,,"170,000.00",,"Base salary- $140k, stocks- $30k/year",California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
35-44,"Accounting, Banking & Finance",FP&A Manager,,"105,669.00","10,567.00",,Illinois,Chicago,11-20 years,8-10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
35-44,Education (Primary/Secondary),Teacher Assistant,self contained special education paraprofessional,"19,000.00",0.00,,Michigan,Ann Arbor,21-30 years,8-10 years,College degree,Woman,White
35-44,Computing or Tech,Research manager,,"170,000.00","80,000.00",Extra comp: bonus + RSU,New York,New York,5-7 years,5-7 years,PhD,Woman,White
35-44,Nonprofits,Managing Director,,"98,500.00",0.00,,Massachusetts,Boston,11-20 years,11-20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
55-64,Business or Consulting,Principal Consultant,My client work generally is considered a technical architect/logical architect role,"132,000.00",,,Georgia,Atlanta,31-40 years,11-20 years,College degree,Woman,"Middle Eastern or Northern African, White"
35-44,Health care,Director of Agency Services,"Liaison between specialized pharmacy and patients/providers, project director for clinical trials","93,000.00","1,500.00",,Maryland,Annapolis,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Director of Bioinformatics,,"140,000.00","5,000.00",I also receive equity as I work for a small start up,Massachusetts,Greater Boston Area,8-10 years,8-10 years,PhD,Woman,White
25-34,Media & Digital,Associate editor,,"40,000.00",100.00,,Minnesota,Minneapolis,2-4 years,2-4 years,College degree,Woman,White
35-44,Health care,Communications Lead (hospital),,"34,000.00",300.00,,South Dakota,Aberdeen,11-20 years,8-10 years,High School,Woman,"Native American or Alaska Native, White"
18-24,Computing or Tech,Member of Technical Staff,,"123,000.00","16,000.00",,New York,Brooklyn,2-4 years,2-4 years,College degree,Man,White
55-64,"Accounting, Banking & Finance",Bookkeeper,,"53,040.00",,,New Jersey,Flemington,21-30 years,21-30 years,Some college,Woman,White
55-64,Government and Public Administration,Legal Secretary,,"53,040.00",150.00,,Montana,Billings,31-40 years,31-40 years,College degree,Woman,White
35-44,Computing or Tech,Quality Assurance Engineer/Scrum Master,,"57,000.00","2,000.00",,California,Los Angeles,8-10 years,5-7 years,College degree,Woman,White
45-54,Computing or Tech,Lead Business System Analyst,,"107,705.00",0.00,,Minnesota,Minneapolis,21-30 years,21-30 years,Master's degree,Woman,White
18-24,UX Research,user Experience Researcher,,"82,000.00","3,280.00",I get an annual bonus of 4%,Colorado,Fort Collins,2-4 years,2-4 years,College degree,Woman,White
25-34,Education (Higher Education),Lab Manager,I run all of the introductory courses' labs for our department,"68,000.00",0.00,,Massachusetts,Worcester,2-4 years,2-4 years,College degree,Woman,White
35-44,Entertainment,Director,Full title is Director of Popular Programming (Symphony orchestra),"75,000.00",0.00,,Oregon,Portland,8-10 years,8-10 years,College degree,Woman,White
35-44,Education (Higher Education),"Professor, Librarian",,"58,000.00",0.00,,Florida,Gainesville,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Computing or Tech,Systems Analyst,Technical Business Analyst,"68,000.00",0.00,,Connecticut,Southington,8-10 years,8-10 years,College degree,Woman,White
35-44,Recruitment or HR,Hr/ project coordinator,Hr coordinator,"62,500.00",0.00,,Florida,Tampa,11-20 years,2-4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Law Enforcement & Security,site supervisor,,"34,944.00",,,Montana,Helena,8-10 years,5-7 years,College degree,Woman,White
35-44,Public Library,Assistant Director,,"84,000.00",,,Wisconsin,Milwaukee,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Media & Digital,Social media and digital manager,,"60,000.00",0.00,,Georgia,Atlanta,2-4 years,1 year or less,Some college,Woman,Black or African American
25-34,Computing or Tech,Manager,Managing a small development team,"181,000.00","45,000.00",Bonus fluctuates yearly,New Jersey,Jersey,11-20 years,8-10 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Computing or Tech,Senior Software Engineer,Backend,"200,000.00",,,California,San Francisco,11-20 years,5-7 years,College degree,Woman,White
35-44,Property or Construction,Project Manager,,"96,500.00","2,500.00",,Rhode Island,Providence,11-20 years,11-20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Technical staff,,"89,500.00",,,Massachusetts,Cambridge,2-4 years,2-4 years,College degree,Woman,White
45-54,"Accounting, Banking & Finance",Sr Document Imaging Rep,,"65,000.00",0.00,"Have worked for company 27y, grades were introduced 5 years ago so am paid 70% above actual max for the grade of this position.",Colorado,Denver,21-30 years,21-30 years,Some college,Woman,White
25-34,Education (Higher Education),"manager, educational administration",,"77,000.00",0.00,,Illinois,Chicago,5-7 years,2-4 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Computing or Tech,Director - Product,,"190,000.00","55,000.00",,Texas,Dallas,8-10 years,8-10 years,Master's degree,Man,Another option not listed here or prefer not to answer
45-54,Computing or Tech,Data Scientist,,"135,000.00","50,000.00",,Utah,Lehi,21-30 years,2-4 years,Master's degree,Man,Another option not listed here or prefer not to answer
55-64,Nonprofits,Finance Manager,FP&A,"112,800.00",0.00,,North Carolina,Durham,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Government and Public Administration,Environmental health scientist,,"72,000.00",,,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
25-34,Libraries,Teen Librarian,,"68,000.00",0.00,,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Education (Higher Education),Associate Librarian,,"63,686.00","15,000.00","I am an administrator, so that 15k additional is my administrative stipend. If I step down or am removed, I go back to my base salary. Any raises are based on base salary.",Wyoming,Laramie,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
45-54,Computing or Tech,Senior Director,,"205,000.00","70,000.00",,Washington,Seattle,21-30 years,11-20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Health care,Senior Project Manager,I assist clinical trials,"118,000.00","5,000.00",,New York,New York,8-10 years,2-4 years,College degree,Woman,"Black or African American, White"
25-34,Transport or Logistics,Transportation Planner,,"79,000.00","3,500.00",,Maryland,Baltimore,8-10 years,8-10 years,Master's degree,Woman,White
45-54,Property or Construction,Senior Project Manager,,"120,000.00","10,000.00",,Maryland,Rockville,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Education (Higher Education),Administrative Asst.,,"55,000.00",0.00,,New York,New York,11-20 years,11-20 years,Master's degree,Woman,Asian or Asian American
25-34,Computing or Tech,Software engineer,L62,"149,000.00","210,000.00","Sign on 50k, stock 160k",Washington,Seattle,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
25-34,Business or Consulting,Partner,,"260,000.00","120,000.00",,Maryland,Baltimore,8-10 years,8-10 years,Master's degree,Woman,White
35-44,Computing or Tech,Senior Business Analyst,,"125,000.00",,,New York,New York,11-20 years,8-10 years,Master's degree,Woman,White
55-64,Health care,"VP Information Security, Complaince, and Privacy",,"210,000.00",0.00,,California,Mountain View,31-40 years,21-30 years,College degree,Man,White
25-34,Health care,Emergency Medical Technician,,"43,680.00","7,000.00",,New Jersey,New Brunswick,11-20 years,11-20 years,Some college,Man,"Black or African American, Hispanic, Latino, or Spanish origin, White"
35-44,Business or Consulting,Service Manager,,"68,500.00",,,Georgia,Woodstock,8-10 years,8-10 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Client Service Manager,,"66,000.00","2,000.00",,Illinois,Schaumburg,8-10 years,5-7 years,College degree,Woman,White
25-34,Computing or Tech,QA Lead,,"74,880.00",,"No overtime because we don't do overtime, period; bonuses vary on what the company can provide at the time, but everyone gets the same.",Colorado,Thornton,5-7 years,5-7 years,Some college,Non-binary,"Middle Eastern or Northern African, White"
25-34,"Marketing, Advertising & PR",Marketing Coordinator,,"50,000.00",,"My company offers a bonus based on whether the company hits goals in profitability and current ratio. If we hit 100% of both goals all four quarters, employees can receive the value of up to 15 days of pay. For me, that number would equal $2900. Last year, I received around $1000.",Minnesota,St. Paul,11-20 years,8-10 years,Master's degree,Woman,White
25-34,Sales,Partner Success Lead,,"85,000.00",0.00,,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman,Middle Eastern or Northern African
25-34,Education (Higher Education),Director of Alumni Relations,,"100,000.00",,,New York,New York,8-10 years,5-7 years,College degree,Woman,White
25-34,Nonprofits,Digital Marketing Manager,manage website and analytics,"75,000.00",0.00,,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,White
25-34,Recruitment or HR,HR Generalist,,"44,000.00",,,Ohio,Perrysburg,2-4 years,2-4 years,College degree,Woman,White
45-54,Education (Higher Education),Teaching Assistant,"(FT staff, not grad student)","72,548.00",0.00,,Illinois,Downers Grove,21-30 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Engineering or Manufacturing,GIS Analyst,Geographic Information Systems Analyst for an employee-owned company,"64,700.00","3,000.00","That is a guess- I have not received 401k match or ESOP (employee stock, not a public company) stock yet. We did receive a holiday bonus that was about $700 for me after taxes.",Pennsylvania,Harrisburg,5-7 years,2-4 years,Master's degree,Woman,White
25-34,Media & Digital,Senior Site Reliability Engineer,,"150,000.00","25,000.00",,Michigan,Detroit,5-7 years,2-4 years,Some college,Woman,White
25-34,Education (Primary/Secondary),High school teacher,,"42,000.00",0.00,,Colorado,Englewood,8-10 years,8-10 years,Master's degree,Woman,White
25-34,Computing or Tech,Office Manager and HR Generalist,,"77,250.00","8,500.00","Company uses ACV sales milestones to calculate ""success sharing"" bonuses rather than basing bonuses on performance",New York,New York,8-10 years,5-7 years,College degree,Woman,White
25-34,"Marketing, Advertising & PR",Associate Marketing Manager,Brand Manager,"97,500.00",,,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,White
18-24,Engineering or Manufacturing,Electrical Engineer,,"52,000.00",,,Pennsylvania,Johnstown,2-4 years,1 year or less,College degree,Man,White
35-44,Computing or Tech,analyst,,"64,000.00","2,400.00",,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Staff sw engineer,,"200,000.00",,,Colorado,Redondo Beach,21-30 years,21-30 years,College degree,Man,Asian or Asian American
25-34,Computing or Tech,Senior Product Owner,,"115,000.00","10,000.00",,Wisconsin,Milwaukee,11-20 years,5-7 years,College degree,Woman,White
25-34,Health care,Financial Analyst,,"54,080.00","3,000.00",,Oklahoma,Tulsa,2-4 years,2-4 years,College degree,Woman,Native American or Alaska Native
25-34,"Marketing, Advertising & PR",Marketing Strategist,,"62,500.00","2,600.00",,Tennessee,Memphis,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government and Public Administration,GIS Specialist,,"56,160.00",,,Utah,Salt Lake,2-4 years,2-4 years,Master's degree,Man,White
25-34,"Accounting, Banking & Finance",Analyst,,"94,000.00","6,000.00",,Pennsylvania,Pittsburgh,8-10 years,8-10 years,Master's degree,Woman,White
55-64,commodities trading,Legal Assistant,,"75,000.00","2,000.00",,Connecticut,Wilton,31-40 years,31-40 years,College degree,Woman,White
45-54,Government and Public Administration,Assistant Department Head,Public library,"60,000.00",0.00,,Illinois,Chicago,21-30 years,21-30 years,Master's degree,Woman,White
35-44,Art & Design,Graphic artist,Artist & designer for children’s wear,"89,000.00","2,000.00",,New York,New York,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Software Developer,,"97,000.00","13,000.00",,North Carolina,Raleigh,5-7 years,5-7 years,College degree,Woman,White
25-34,Insurance,Marketing Coordinator,Entry level marketer for commercial insurance,"32,760.00",0.00,,Pennsylvania,Scranton,8-10 years,2-4 years,College degree,Woman,White
45-54,Nonprofits,Chief Information Officer,,"135,000.00",0.00,,District of Columbia,Washington,21-30 years,21-30 years,College degree,Man,White
35-44,Social Work,Salesforce (CRM) Administrator,Development/donor data side of nonprofit,"84,300.00",0.00,,California,San Jose,11-20 years,2-4 years,PhD,Woman,White
25-34,Computing or Tech,Senior Software Engineering Manager,,"185,000.00","29,550.00","Additional compensation can go up to 40,650. Stock awards vest quarterly, total value 135000+.",California,San Francisco,5-7 years,5-7 years,Master's degree,Man,Asian or Asian American
35-44,Education (Primary/Secondary),Manager,Consulting project manager,"31,435.00",0.00,,Massachusetts,Boston,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Health care,Optician,Licensed Dispensing Optician,"60,000.00","5,000.00",Commission and bonus based,New York,Poughkeepsie,21-30 years,21-30 years,High School,Woman,White
25-34,Nonprofits,Librarian,,"59,051.00",0.00,,New York,Queens,11-20 years,5-7 years,Master's degree,Non-binary,White
25-34,Nonprofits,Outreach,Membership and Volunteer Coordinating,"45,000.00",0.00,,Arizona,Tucson,8-10 years,5-7 years,Master's degree,Woman,White
45-54,Health care,Executive Assistant,To CEO/Board,"66,300.00",0.00,,Nebraska,Alma,21-30 years,11-20 years,College degree,Woman,White
25-34,Government and Public Administration,Librarian,,"38,257.00",0.00,,South Carolina,Rock Hill,11-20 years,11-20 years,Master's degree,Woman,White
35-44,Health care,Manager,,"110,000.00",,,Washington,Seattle,11-20 years,11-20 years,High School,Woman,White
45-54,"Accounting, Banking & Finance",Accounts Payable Manager,,"87,000.00",,,Virginia,Charlottesville,21-30 years,21-30 years,College degree,Woman,White
25-34,"Accounting, Banking & Finance",Construction Project Accountant,,"70,000.00","5,000.00",,Oregon,Portland,8-10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Associate Director of Development Services,Main expert on the fundraising database for a nonprofit arts organization.,"80,164.00",,,New York,New York,11-20 years,11-20 years,College degree,Man,White
35-44,Education (Primary/Secondary),Director of Advancement,,"90,000.00",,,Pennsylvania,Philadelphia,11-20 years,11-20 years,College degree,Woman,White
25-34,Computing or Tech,Mechanical Engineer,,"142,000.00","5,000.00",,California,San Francisco,2-4 years,2-4 years,Master's degree,Woman,Asian or Asian American
35-44,Health care,Office Manager,,"71,760.00",250.00,,Washington,Seattle,11-20 years,8-10 years,College degree,Woman,White
45-54,Education (Higher Education),Associate Director of Admissions,,"87,000.00",,,Colorado,Boulder,21-30 years,21-30 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Structural Engineer,,"71,600.00",,,Virginia,Fairfax,2-4 years,2-4 years,Master's degree,Woman,Black or African American
35-44,"Marketing, Advertising & PR",Email Marketing Manager,,"75,600.00",,,Nebraska,Lincoln,21-30 years,5-7 years,College degree,Woman,White
35-44,"Marketing, Advertising & PR",Director,,"82,000.00","12,000.00",,Washington,Seattle,8-10 years,8-10 years,Master's degree,Other or prefer not to answer,White
35-44,Hospitality & Events,Director of Marketing and Events,,"65,000.00","5,000.00",,Virginia,Charlottesville,11-20 years,11-20 years,College degree,Woman,White
45-54,Nonprofits,Events Marketing Manager,,"76,500.00",,,Texas,Dallas,21-30 years,11-20 years,Master's degree,Woman,White
25-34,Engineering or Manufacturing,Mechanical Engineer,,"94,000.00",,,Virginia,Alexandria,5-7 years,2-4 years,College degree,Woman,White
25-34,Agriculture or Forestry,Business Development Manager,Animal Nutritionist,"125,000.00","15,000.00",,Minnesota,St Paul,8-10 years,8-10 years,PhD,Woman,White
18-24,Retail,Best Buy Sales Advisor,,"31,200.00",,,Georgia,Athens,5-7 years,2-4 years,College degree,Non-binary,"Black or African American, Hispanic, Latino, or Spanish origin"
25-34,Nonprofits,Digital Communications Officer,,"65,000.00",0.00,,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
25-34,Computing or Tech,Network administrator,Cleared,"82,000.00",0.00,,Colorado,Denver,5-7 years,5-7 years,Some college,Man,White
