Age Range,Work Industry,Job title,"If your job title needs additional context, please clarify here:",Annual Salary,Additional monetary compensation,"If your income needs additional context, please provide it here:",State,City,years of professional work experience,years of professional work experience in field,highest level of education completed,Gender,Race
55-64,"Accounting, Banking & Finance",Loan Purchase Specialist,,"48,763.00",900.00,,Minnesota,Hopkins,31-40 years,21-30 years,Some college,Woman,White
25-34,Computing or Tech,Program Manager,,"125,000.00",0.00,,Texas,Austin,8-10 years,5-7 years,College degree,Woman,White
25-34,Education (Primary/Secondary),Library Media Specialist,,"47,094.00",,,Wisconsin,Eau Claire,8-10 years,8-10 years,College degree,Woman,White
35-44,Nonprofits,"Project Manager, Workplace Experience","Combination of recruitment, employee engagement, and systems/processes support","57,500.00",0.00,,Washington,Seattle,11-20 years,5-7 years,Some college,Woman,White
35-44,Health care,program manager,,"90,000.00",0.00,,North Carolina,Durham,11-20 years,8-10 years,Master's degree,Woman,White
35-44,Health care,Provider Engagement Executive,Population health management for health insurer,"89,046.00","17,160.00",,Texas,Houston,11-20 years,5-7 years,Master's degree,Woman,White
35-44,Engineering or Manufacturing,HR Manager,,"175,000.00","15,000.00",,New York,Syracuse,11-20 years,5-7 years,Master's degree,Woman,White
25-34,Health care,"Senior Manager, Statistics",,"145,000.00","60,000.00",,Massachusetts,Boston,2-4 years,2-4 years,PhD,Woman,White
25-34,Insurance,Underwriting Assistant,Life insurance new business,"70,000.00",0.00,,Colorado,Denver,8-10 years,5-7 years,College degree,Woman,White
35-44,Social Work,Medical Social Worker,At county health department,"56,846.00",0.00,,Michigan,Grand Rapids,11-20 years,11-20 years,Master's degree,Woman,White
25-34,Health care,Registered Dietitian,,"70,000.00",,,Illinois,Chicago,8-10 years,5-7 years,College degree,Woman,White
35-44,Nonprofits,Business Development Manager,,"72,000.00",,,District of Columbia,Washington,8-10 years,8-10 years,Master's degree,Woman,White
18-24,Government and Public Administration,Executive Assistant,,"49,500.00",0.00,,Vermont,Montpelier,2-4 years,2-4 years,College degree,Woman,White
35-44,Construction,Project manager,,"80,000.00","10,000.00",,Washington,Seattle,11-20 years,11-20 years,College degree,Man,White
35-44,Government and Public Administration,Attorney Advisor,,"131,000.00","16,000.00",,Washington,Seattle,11-20 years,11-20 years,"Professional degree (MD, JD, etc.)",Woman,White
35-44,Government and Public Administration,Scientist,,"117,000.00",0.00,,North Carolina,Raleigh,5-7 years,5-7 years,PhD,Woman,White
35-44,Law,Deputy Attorney General,Akin to an associate,"72,000.00",,,Idaho,Boise,11-20 years,8-10 years,"Professional degree (MD, JD, etc.)",Woman,White
