Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
41,17,1.35,1.47,4100,1,2,1,0
24,15,1.35,2.37,21700,1,2,1,0
24,14,1.35,3.45,16500,1,2,1,1
41,13,1.25,1.5,15000,1,2,1,0
41,16,1.2,1.5,18000,1,2,1,0
41,17,1.2,1.47,11000,1,2,1,0
24,16,1.2,1.78,6000,1,2,1,0
41,16,1.15,1.5,8700,1,2,1,0
24,14,1.15,2.4,7000,1,2,1,0
36,16,1.15,1.4,35000,1,2,1,0
41,15,1.15,1.47,17000,1,2,1,0
41,15,1.11,1.47,17500,1,2,1,0
41,13,1.1,1.47,33000,1,2,1,0
41,15,1.1,1.9,14000,1,2,1,0
41,15,1.1,1.47,26000,1,2,1,0
41,13,1.05,1.9,5400,1,2,1,0
10,16,1.05,1.26,5700,1,2,1,0
41,11,1.05,1.5,6900,1,2,1,0
41,16,1.05,1.17,6000,1,2,1,0
41,13,1,1.47,46500,1,2,1,0
41,12,0.95,1.75,11500,1,2,1,0
41,9,0.9,1.75,40000,1,2,1,0
10,17,0.9,0.95,1300,1,2,1,0
10,16,0.75,0.8,7000,1,2,1,0
24,17,0.8,0.87,3000,1,2,1,0
98,17,0.78,0.84,5000,1,2,1,0
24,17,0.75,0.87,11000,1,2,1,0
98,15,0.75,0.82,18000,1,2,1,0
10,17,0.75,0.95,3500,1,2,1,0
10,16,0.72,0.95,500,1,2,1,0
41,17,0.65,0.81,11800,1,2,1,0
10,15,0.65,0.74,5000,1,2,1,0
24,14,0.65,1.2,23500,1,2,1,0
24,13,0.65,0.787,16000,1,2,1,0
24,16,0.6,0.87,15000,1,2,1,0
10,15,0.6,0.95,16600,1,2,1,0
24,13,0.6,1.2,32000,1,2,1,0
10,16,0.6,0.8,20000,1,2,1,0
98,15,0.6,0.84,29000,1,2,1,0
98,16,0.6,0.84,25000,1,2,1,0
10,14,0.6,0.99,25000,1,2,1,0
41,12,0.6,0.81,19000,1,2,1,0
24,14,0.55,0.787,15000,1,2,1,0
98,15,0.55,0.84,58000,1,2,1,0
10,10,0.52,0.94,45000,1,2,1,0
10,16,0.51,0.94,24000,1,2,1,0
41,11,0.5,0.826,6000,1,2,1,0
24,16,0.5,0.55,31000,1,2,1,0
10,12,0.5,0.99,13000,1,2,1,0
10,13,0.5,0.99,45000,1,2,1,0
